english_gloss,interlang_form,group,derivation
8,kin,numeral,ids:Chipaya (Uru-Chipaya) <kinsaḳalku>
9,sa,numeral,ids:Macushi (Cariban) <saakɨrɨrɨ miaʔ pona tɨɨmoʔtai>
action (X-action),num,generic,WhiteHmong (Hmong-Mien) <num>
manner (how: WHAT-manner),mu,generic,ids:Basque (Basque) <'mulde>
person (agent nouns: X-person),kim,generic,asjp:TURKISH (Turkic) <kimse>
place (where: WHAT-place),pe,generic,ids:Cayapa (Barbacoan) <'pela>
quality (abstract nouns: X-quality),fam,generic,coined from the free monosyllable pool (no donor)
reason (why: WHAT-reason),pom,generic,ids:Komi (Uralic) <pomka>
thing (object nouns: X-thing),wa,generic,ids:Aguaruna (Chicham) <wa'hi>
time (when: WHAT-time),tem,generic,ids:French (Indo-European) <temps>
tool (instrument nouns: X-tool),kom,generic,Swahili (Atlantic-Congo) <chombo>
about (topic),pum,core,coined from the free monosyllable pool (no donor)
again,ko,core,ids:Yanomámi (Yanomamic) <kõ->
all,sem,core,asjp:KHALKHA_MONGOLIAN (Mongolic-Khitan) <ch~3m>
"also, too",wim,core,coined from the free monosyllable pool (no donor)
arm/hand,fum,core,coined from the free monosyllable pool (no donor)
back,gi,core,ids:Ayoreo (Zamucoan) <giido'booi>
bad,kem,core,ids:Karok (Karok) <-ké̄m>
big,sam,core,asjp:MARIND (Anim) <sam>
bitter,kun,core,Swahili (Atlantic-Congo) <-chungu>
black,je,core,asjp:CUBEO (Tucanoan) <yebido>
blood,kan,core,asjp:TURKISH (Turkic) <kan>
bone,jun,core,asjp:WARLPIRI_2 (Pama-Nyungan) <yuNkunu>
breast,tin,core,asjp:SHILLUK_2 (Nilotic) <8i4>
but (contrast; combines with AND per grammar-tier3-combination 1),wam,core,coined from the free monosyllable pool (no donor)
by (passive agent marker),pem,core,coined from the free monosyllable pool (no donor)
"can, to be able",wom,core,coined from the free monosyllable pool (no donor)
ear,nun,core,asjp:LAKOTA (Siouan) <nuNge>
far,we,core,Hup (Naduhup) <w’ěh>
fire,tam,core,asjp:BENCHO (Ta-Ne-Omotic) <tam>
fish,som,core,asjp:SANDAWE (Sandawe) <somba>
flesh/meat,fin,core,coined from the free monosyllable pool (no donor)
fly,ga,core,ids:Epena (Chocoan) <ɨ̃'gana>
for (benefactive / purpose),pim,core,coined from the free monosyllable pool (no donor)
from (source),mum,core,coined from the free monosyllable pool (no donor)
good,man,core,asjp:TELUGU_3 (Dravidian) <manCi>
hair,jom,core,coined from the free monosyllable pool (no donor)
horn,tun,core,asjp:LUO_2 (Nilotic) <tuN>
house,wi,core,ids:Yagua (Peba-Yagua) <wiča-ho>
in / at (locative),na,core,Japanese (Japonic) <naka>
leg/foot,mam,core,coined from the free monosyllable pool (no donor)
louse,fim,core,coined from the free monosyllable pool (no donor)
many,so,core,asjp:FUR_2 (Furan) <soNa>
more,du,core,ids:Aguaruna (Chicham) <'dukap>
mouth,pan,core,asjp:MON (Austroasiatic) <paN>
name,nim,core,asjp:PILA (Nuclear Trans New Guinea) <nim>
navel,pu,core,ids:Guaraní (Tupian) <puruʔã>
neck,mo,core,asjp:KOREAN (Koreanic) <mok>
new,sun,core,asjp:TERNATE (North Halmahera) <suN>
night,bi,core,asjp:CHECHEN_2 (Nakh-Daghestanian) <bis3>
nose,pen,core,"asjp:ABAZA (Abkhaz-Adyge) <p3nc""a>"
now,jan,core,Hausa (Afro-Asiatic) <yànzú>
other,ki,core,Vietnamese (Austroasiatic) <khác>
"past, previously (the tense-carrying adverb; Q6 made tense lexical, so this is what narrates a past-tense talk)",si,core,SeliceRomani (Indo-European) <čilla>
rain,nu,core,ids:Páez (Páez) <nus>
root,ken,core,asjp:MANDARIN_JINZHOU_2 (Sino-Tibetan) <k3n>
same,ju,core,Qeqchi (Mayan) <junaj>
smoke,jon,core,asjp:KOREAN (Koreanic) <yongi>
stone/rock,di,core,ids:Waorani (Waorani) <di-ka>
this,mem,core,asjp:SUKI (Suki-Gogodala) <mem>
to (goal; also the recipient of a ditransitive),mim,core,coined from the free monosyllable pool (no donor)
to bite,da,core,asjp:NARA (Nara) <dEs>
to come,min,core,asjp:SOTEAPAN_ZOQUE (Mixe-Zoque) <mi5>
to do/make,fun,core,coined from the free monosyllable pool (no donor)
to drink,sum,core,asjp:LAZ (Kartvelian) <Sum>
to give,non,core,asjp:BANGERI_ME_2 (Bangime) <nondowoy>
to go,po,core,ids:Tacana (Pano-Tacanan) <poti->
to hit/beat,mun,core,Oroqen (Tungusic) <mʊnda:->
to know,go,core,ids:Tlingit (Athabaskan-Eyak-Tlingit) <gook>
to say,pin,core,Mapudungun (Araucanian) <pin>
to stand,dan,core,asjp:MURSI_2 (Surmic) <dant3no>
to take,su,core,Archi (Nakh-Daghestanian) <šːubus>
to think,dam,core,ids:Central Thai (Tai-Kadai) <dam.1-ri.2>
to use,kum,core,coined from the free monosyllable pool (no donor)
to want,to,core,ids:Yuwana (Hoti) <-toba>
tongue,nem,core,asjp:MOSETEN (Mosetén-Chimané) <nem>
tooth,gu,core,asjp:KHOEKHOEGOWAB (Khoe-Kwadi) <!gub>
"very, much (degree)",wem,core,coined from the free monosyllable pool (no donor)
water,win,core,ids:Goajiro (Arawakan) <wɨin>
wind,fen,core,MandarinChinese (Sino-Tibetan) <feng1>
wing,fe,core,Kanuri (Saharan) <féfétò>
with (COMITATIVE - accompaniment),den,core,Indonesian (Austronesian) <dengan>
with (INSTRUMENTAL - means); deliberately NOT the same word as WITH,ma,core,Kalina (Cariban) <malo>
"work, to work",fa,core,ids:Erzya Mordvin (Uralic) <važodʸems>
yesterday,jam,core,Hup (Naduhup) <j’ám>
"common, shared",fimfim,core-poly,coined from the free monosyllable pool (no donor)
different,fafa,core-poly,coined from the free monosyllable pool (no donor)
easy,jasa,core-poly,Japanese (Japonic) <yasashii>
group,fofo,core-poly,coined from the free monosyllable pool (no donor)
instead of,fanfan,core-poly,coined from the free monosyllable pool (no donor)
long,taki,core-poly,asjp:KALAALLISUT (Eskimo-Aleut) <takisoq>
narrow,tika,core-poly,ids:Trumai (Trumai) <ɨtkatla>
"part, piece",seke,core-poly,ids:Cofán (Cofán) <šekeʔčo>
"set, collection",fomfom,core-poly,coined from the free monosyllable pool (no donor)
"similar, like",nuti,core-poly,ids:Yagua (Peba-Yagua) <nũtyu>
simple,finfin,core-poly,coined from the free monosyllable pool (no donor)
"source, origin",femfem,core-poly,coined from the free monosyllable pool (no donor)
to avoid,fenfen,core-poly,coined from the free monosyllable pool (no donor)
to begin,pibu,core-poly,WhiteHmong (Hmong-Mien) <pib>
to borrow,nawa,core-poly,ids:Toba (Guaicuruan) <n-ʔawat>
"to check, to verify",fifi,core-poly,coined from the free monosyllable pool (no donor)
to finish,kisa,core-poly,ids:Páez (Páez) <xʸãʔh->
"to guide, a guide",fefe,core-poly,coined from the free monosyllable pool (no donor)
to hear,kamsi,core-poly,"asjp:ARI (South Omotic) <k""amska>"
to help,taja,core-poly,ids:Chatino (Zacatepec variety) (Otomanguean) <ta yaʔ ʔĩ->
to learn,jani,core-poly,ids:Zuni (Zuni) <yanikʷati->
to remember,soto,core-poly,ids:Goajiro (Arawakan) <soto aʔin>
"to speak, to talk",tomi,core-poly,ids:Pacaas Novos (Chapacuran) <tomiʔ>
"to spread, spread out",wasa,core-poly,ids:Shipibo-Conibo (Pano-Tacanan) <wasãti>
together,famfam,core-poly,coined from the free monosyllable pool (no donor)
world,mudu,core-poly,ids:Basque (Basque) <'mü̃dü>
conlang / constructed language,funlingua,compound,fun+lingua = make-language; the head is `language`; the modifier is the verb root `fum` 'do/make'
dataset,datafomfom,compound,data+fomfom = data-set; judgment call C3
how,mommu,compound,mom+mu = what-manner; principles.md 3.2 Q10
language family,lingua familia,compound,"lingua+familia = language family; written as two words: a head-final noun-noun phrase, not a root"
learnability,janifam,compound,jani+fam = learn-quality; the generic-noun derivation of 3.2 Tiers 4-5: X-quality = the abstract noun of X
loanword,nawalekisi,compound,nawa+lekisi = borrow-word; a word that was borrowed
mother tongue / first language,punjem lingua,compound,"pun+jem+lingua = ordinal-one language; ORD+numeral is the ordinal of 3.2; `mimmo` = 'first', then the head"
recognizability,rekoginitionefam,compound,"rekoginitione+fam = recognize-quality; same pattern, on the borrowed stem"
researcher,situdiakim,compound,"situdia+kim = study-person; same pattern, on the borrowed stem `studia`"
sound system,fonosisitema,compound,fono+sisitema = sound-system; head-final
speaker (agent noun),tomikim,compound,tomi+kim = speak-person; the agent-noun pattern of 3.2 Tiers 4-5
when,momtem,compound,mom+tem = what-time; principles.md 3.2 Q10
where,mompe,compound,mom+pe = what-place; principles.md 3.2 Q10
who,momkim,compound,mom+kim = what-person; principles.md 3.2 Q10
why,mompom,compound,mom+pom = what-reason; principles.md 3.2 Q10
word class,lekisikategoria,compound,lekisi+kategoria = word-category; head-final
wordlist,lekisilisita,compound,lekisi+lisita = word-list; head-final
because,fo,construction,judgment call C2: the generic noun `fo` 'reason' in 3.2's adverbial-clause construction; no new root
adjective,famlekisi,technical,native compound fam+lekisi (quality-word)
adult,adulito,technical,international <adulto>
adverb,mulekisi,technical,native compound mu+lekisi (manner-word)
alphabet,alifabeto,technical,international <alphabeto>
analysis,analisisi,technical,international <analysis>
automatic,automatiko,technical,international <automatico>
auxiliary,aukisiliare,technical,international <auxiliare>
bias,biasi,technical,international <bias>
category,kategoria,technical,international <categoria>
communicate,komunika,technical,international <communica>
compound,komposito,technical,international <composito>
computer,komputeri,technical,international <computer>
consonant,konsonanta,technical,international <consonanta>
construct,konsitrukita,technical,international <constructa>
corpus,koripusi,technical,international <corpus>
creole,kreolo,technical,international <creolo>
data,data,technical,international <data>
describe,desikriba,technical,international <describa>
dialect,dialekito,technical,international <dialecto>
dictionary,dikitionario,technical,international <dictionario>
discussion,disikusione,technical,international <discussione>
evolve,efolua,technical,international <evolua>
example,ekisemplo,technical,international <exemplo>
family (of languages),familia,technical,international <familia>
famous,famoso,technical,international <famoso>
form,forima,technical,international <forma>
frequency,frekiwentia,technical,international <frequentia>
grammar,gramatika,technical,international <grammatica>
idea,idea,technical,international <idea>
international,interinationale,technical,international <internationale>
language,lingua,technical,international <lingua>
letter,litera,technical,international <litera>
lexicon,lekisikon,technical,international <lexicon>
linguistics,linguisitika,technical,international <linguistica>
list,lisita,technical,international <lista>
maximize,makisimisa,technical,international <maximisa>
meaning,sensu,technical,international <sensu>
method,metodo,technical,international <methodo>
model,modelo,technical,international <modello>
morpheme,morifema,technical,international <morphema>
natural,naturale,technical,international <naturale>
note,nota,technical,international <nota>
noun,nomen,technical,international <nomen>
number,numero,technical,international <numero>
objective,obujekitifo,technical,international <objectivo>
optimization,oputimisatione,technical,international <optimisatione>
phoneme,fonema,technical,international <phonema>
phonetics,fonetika,technical,international <phonetica>
phonology,fonologia,technical,international <phonologia>
pidgin,pidigin,technical,international <pidgin>
population,populatione,technical,international <populatione>
presentation,presentatione,technical,international <presentatione>
program,programa,technical,international <programa>
project,projekito,technical,international <projecto>
question,momwa,technical,native compound mom+wa (what-thing)
questionnaire,kiwesitionario,technical,international <questionario>
recognize,rekoginitione,technical,international <recognitione>
represent,representa,technical,international <representa>
root (of a word),radika,technical,international <radika>
rule,regula,technical,international <regula>
semantics,semantika,technical,international <semantica>
sentence,frase,technical,international <frase>
sound,fono,technical,international <phono>
statistics,sitatisitika,technical,international <statistica>
structure,sitrukitura,technical,international <structura>
study,situdia,technical,international <studia>
syllable,silaba,technical,international <syllaba>
syntax,frasemu,technical,native compound frase+mu (sentence-manner)
system,sisitema,technical,international <systema>
table,tabela,technical,international <tabella>
technical,tekiniko,technical,international <technico>
text,tekisito,technical,international <texto>
translation,tradukitione,technical,international <traductione>
typology,tipologia,technical,international <typologia>
verb,feribum,technical,international <verbum>
version,ferisione,technical,international <versione>
vowel,fokala,technical,international <vocala>
word,lekisi,technical,international <lexi>
Comrie,Komrie,name,proper name <comrie>
Dothraki,Dotraki,name,proper name <dothraki>
English (the language),Engilisi,name,proper name <english>
Esperanto,Esiperanto,name,proper name <esperanto>
Europe,Europa,name,proper name <europa>
PHOIBLE,Foibule,name,proper name <phoible>
Quenya,Kiwenja,name,proper name <quenya>
Smith,Simiti,name,proper name <smith>
