word,domain,intl,variant,final_policy,form,phonemes,syl_before,syl_after,syl_inflation,len_before,len_after,len_inflation,n_epenthesis,n_deleted,n_lossy_segment,n_attested,attested_langs,sim_attested,sim_attested_min,sim_restrictive,sim_permissive,sim_attested_learned,sim_ceiling,sim_attested_pairwise,why,intl_note,retention
proton,chem/phys,proton,V5,delete,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V5,epenthesize,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V3C,delete,proton,proton,2,2,1.0,6,6,1.0,0,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.9628,0.8571,0.8941,0.98,0.9583,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,1.0
proton,chem/phys,proton,V3C,epenthesize,proton,proton,2,2,1.0,6,6,1.0,0,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.9628,0.8571,0.8941,0.98,0.9583,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,1.0
electron,chem/phys,electron,V1,delete,elekitiro,elektron,3,5,1.6667,8,9,1.125,2,1,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.6808,0.6475,0.7184,0.6715,0.6387,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7075
electron,chem/phys,electron,V1,epenthesize,elekitironi,elektron,3,6,2.0,8,11,1.375,3,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7342,0.6301,0.7241,0.7367,0.7818,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.763
electron,chem/phys,electron,V2,delete,elekitiron,elektron,3,5,1.6667,8,10,1.25,2,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7676,0.6931,0.6966,0.7853,0.8094,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7977
electron,chem/phys,electron,V2,epenthesize,elekitiron,elektron,3,5,1.6667,8,10,1.25,2,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7676,0.6931,0.6966,0.7853,0.8094,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7977
electron,chem/phys,electron,V3,delete,elekitiron,elektron,3,5,1.6667,8,10,1.25,2,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7676,0.6931,0.6966,0.7853,0.8094,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7977
electron,chem/phys,electron,V3,epenthesize,elekitiron,elektron,3,5,1.6667,8,10,1.25,2,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7676,0.6931,0.6966,0.7853,0.8094,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7977
electron,chem/phys,electron,V4,delete,elekitiron,elektron,3,5,1.6667,8,10,1.25,2,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7676,0.6931,0.6966,0.7853,0.8094,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7977
electron,chem/phys,electron,V4,epenthesize,elekitiron,elektron,3,5,1.6667,8,10,1.25,2,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7676,0.6931,0.6966,0.7853,0.8094,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.7977
electron,chem/phys,electron,V5,delete,elektiron,elektron,3,4,1.3333,8,9,1.125,1,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8529,0.7701,0.7739,0.8726,0.8785,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.8863
electron,chem/phys,electron,V5,epenthesize,elektiron,elektron,3,4,1.3333,8,9,1.125,1,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8529,0.7701,0.7739,0.8726,0.8785,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.8863
electron,chem/phys,electron,V3C,delete,elekitron,elektron,3,4,1.3333,8,9,1.125,1,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8529,0.7701,0.7739,0.8726,0.8785,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.8863
electron,chem/phys,electron,V3C,epenthesize,elekitron,elektron,3,4,1.3333,8,9,1.125,1,0,1,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8529,0.7701,0.7739,0.8726,0.8785,0.9623,0.9306,worst case: /kt/ medial cluster AND /tr/ onset cluster AND final /n/,,0.8863
molecule,chem/phys,molecula,V1,delete,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V1,epenthesize,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V2,delete,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V2,epenthesize,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V3,delete,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V3,epenthesize,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V4,delete,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V4,epenthesize,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V5,delete,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V5,epenthesize,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V3C,delete,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
molecule,chem/phys,molecula,V3C,epenthesize,molekula,molekula,4,4,1.0,8,8,1.0,0,0,1,9,sw|id|tr|ru|es|fi|ta|hu|cs,0.9314,0.8084,0.8913,0.9428,0.8858,0.9314,0.8815,final /l/ in most shapes; c before u vs e (the c->k/s rule),es/ru/cs/hu shape molekula,1.0
oxygen,chem/phys,oxygen,V1,delete,okisige,oksigen,3,4,1.3333,7,7,1.0,1,1,0,6,hi|sw|id|tr|es|hu,0.6727,0.5668,0.6762,0.672,0.5692,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.7502
oxygen,chem/phys,oxygen,V1,epenthesize,okisigeni,oksigen,3,5,1.6667,7,9,1.2857,2,0,0,6,hi|sw|id|tr|es|hu,0.7526,0.6149,0.7452,0.754,0.7316,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8393
oxygen,chem/phys,oxygen,V2,delete,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V2,epenthesize,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V3,delete,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V3,epenthesize,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V4,delete,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V4,epenthesize,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V5,delete,oksigen,oksigen,3,3,1.0,7,7,1.0,0,0,0,6,hi|sw|id|tr|es|hu,0.8967,0.7452,0.7452,0.927,0.8502,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,1.0
oxygen,chem/phys,oxygen,V5,epenthesize,oksigen,oksigen,3,3,1.0,7,7,1.0,0,0,0,6,hi|sw|id|tr|es|hu,0.8967,0.7452,0.7452,0.927,0.8502,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,1.0
oxygen,chem/phys,oxygen,V3C,delete,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
oxygen,chem/phys,oxygen,V3C,epenthesize,okisigen,oksigen,3,4,1.3333,7,8,1.1429,1,0,0,6,hi|sw|id|tr|es|hu,0.7752,0.6341,0.6341,0.8034,0.757,0.8967,0.8408,"x -> ks (cluster), g before a front vowel (soft-g ambiguity), y as a vowel",,0.8645
hydrogen,chem/phys,hydrogen,V1,delete,hidiroge,hidrogen,3,4,1.3333,8,8,1.0,1,1,0,7,hi|sw|id|tr|es|ta|hu,0.6583,0.5172,0.6702,0.6535,0.5309,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.7756
hydrogen,chem/phys,hydrogen,V1,epenthesize,hidirogeni,hidrogen,3,5,1.6667,8,10,1.25,2,0,0,7,hi|sw|id|tr|es|ta|hu,0.7411,0.55,0.7491,0.7379,0.6802,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.8731
hydrogen,chem/phys,hydrogen,V2,delete,hidirogen,hidrogen,3,4,1.3333,8,9,1.125,1,0,0,7,hi|sw|id|tr|es|ta|hu,0.7741,0.65,0.7396,0.7879,0.7049,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.912
hydrogen,chem/phys,hydrogen,V2,epenthesize,hidirogen,hidrogen,3,4,1.3333,8,9,1.125,1,0,0,7,hi|sw|id|tr|es|ta|hu,0.7741,0.65,0.7396,0.7879,0.7049,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.912
hydrogen,chem/phys,hydrogen,V3,delete,hidirogen,hidrogen,3,4,1.3333,8,9,1.125,1,0,0,7,hi|sw|id|tr|es|ta|hu,0.7741,0.65,0.7396,0.7879,0.7049,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.912
hydrogen,chem/phys,hydrogen,V3,epenthesize,hidirogen,hidrogen,3,4,1.3333,8,9,1.125,1,0,0,7,hi|sw|id|tr|es|ta|hu,0.7741,0.65,0.7396,0.7879,0.7049,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.912
hydrogen,chem/phys,hydrogen,V4,delete,hidirogen,hidrogen,3,4,1.3333,8,9,1.125,1,0,0,7,hi|sw|id|tr|es|ta|hu,0.7741,0.65,0.7396,0.7879,0.7049,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.912
hydrogen,chem/phys,hydrogen,V4,epenthesize,hidirogen,hidrogen,3,4,1.3333,8,9,1.125,1,0,0,7,hi|sw|id|tr|es|ta|hu,0.7741,0.65,0.7396,0.7879,0.7049,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,0.912
hydrogen,chem/phys,hydrogen,V5,delete,hidrogen,hidrogen,3,3,1.0,8,8,1.0,0,0,0,7,hi|sw|id|tr|es|ta|hu,0.8488,0.7203,0.7455,0.8901,0.7643,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,1.0
hydrogen,chem/phys,hydrogen,V5,epenthesize,hidrogen,hidrogen,3,3,1.0,8,8,1.0,0,0,0,7,hi|sw|id|tr|es|ta|hu,0.8488,0.7203,0.7455,0.8901,0.7643,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,1.0
hydrogen,chem/phys,hydrogen,V3C,delete,hidrogen,hidrogen,3,3,1.0,8,8,1.0,0,0,0,7,hi|sw|id|tr|es|ta|hu,0.8488,0.7203,0.7455,0.8901,0.7643,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,1.0
hydrogen,chem/phys,hydrogen,V3C,epenthesize,hidrogen,hidrogen,3,3,1.0,8,8,1.0,0,0,0,7,hi|sw|id|tr|es|ta|hu,0.8488,0.7203,0.7455,0.8901,0.7643,0.8488,0.7536,"y as a vowel (i or u?), soft-g again, three syllables of Greek stem",,1.0
carbon,chem/phys,carbon,V1,delete,karibo,karbon,2,3,1.5,6,6,1.0,1,1,1,8,hi|sw|id|tr|es|vi|ta|is,0.6998,0.5977,0.7072,0.6954,0.5428,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.8349
carbon,chem/phys,carbon,V1,epenthesize,kariboni,karbon,2,4,2.0,6,8,1.3333,2,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7659,0.6983,0.7478,0.7767,0.7402,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9137
carbon,chem/phys,carbon,V2,delete,karibon,karbon,2,3,1.5,6,7,1.1667,1,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7792,0.6305,0.7791,0.7793,0.7434,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9296
carbon,chem/phys,carbon,V2,epenthesize,karibon,karbon,2,3,1.5,6,7,1.1667,1,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7792,0.6305,0.7791,0.7793,0.7434,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9296
carbon,chem/phys,carbon,V3,delete,karibon,karbon,2,3,1.5,6,7,1.1667,1,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7792,0.6305,0.7791,0.7793,0.7434,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9296
carbon,chem/phys,carbon,V3,epenthesize,karibon,karbon,2,3,1.5,6,7,1.1667,1,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7792,0.6305,0.7791,0.7793,0.7434,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9296
carbon,chem/phys,carbon,V4,delete,karbon,karbon,2,2,1.0,6,6,1.0,0,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.8382,0.5074,0.7879,0.8683,0.7877,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,1.0
carbon,chem/phys,carbon,V4,epenthesize,karbon,karbon,2,2,1.0,6,6,1.0,0,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.8382,0.5074,0.7879,0.8683,0.7877,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,1.0
carbon,chem/phys,carbon,V5,delete,karbon,karbon,2,2,1.0,6,6,1.0,0,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.8382,0.5074,0.7879,0.8683,0.7877,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,1.0
carbon,chem/phys,carbon,V5,epenthesize,karbon,karbon,2,2,1.0,6,6,1.0,0,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.8382,0.5074,0.7879,0.8683,0.7877,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,1.0
carbon,chem/phys,carbon,V3C,delete,karibon,karbon,2,3,1.5,6,7,1.1667,1,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7792,0.6305,0.7791,0.7793,0.7434,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9296
carbon,chem/phys,carbon,V3C,epenthesize,karibon,karbon,2,3,1.5,6,7,1.1667,1,0,1,8,hi|sw|id|tr|es|vi|ta|is,0.7792,0.6305,0.7791,0.7793,0.7434,0.8382,0.7446,/r/ coda - the V4 test case; final /n/,,0.9296
energy,chem/phys,energia,V1,delete,enerigia,energia,4,5,1.25,7,8,1.1429,1,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.8165,0.7004,0.8491,0.8119,0.804,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),0.9038
energy,chem/phys,energia,V1,epenthesize,enerigia,energia,4,5,1.25,7,8,1.1429,1,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.8165,0.7004,0.8491,0.8119,0.804,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),0.9038
energy,chem/phys,energia,V2,delete,enerigia,energia,4,5,1.25,7,8,1.1429,1,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.8165,0.7004,0.8491,0.8119,0.804,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),0.9038
energy,chem/phys,energia,V2,epenthesize,enerigia,energia,4,5,1.25,7,8,1.1429,1,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.8165,0.7004,0.8491,0.8119,0.804,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),0.9038
energy,chem/phys,energia,V3,delete,enerigia,energia,4,5,1.25,7,8,1.1429,1,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.8165,0.7004,0.8491,0.8119,0.804,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),0.9038
energy,chem/phys,energia,V3,epenthesize,enerigia,energia,4,5,1.25,7,8,1.1429,1,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.8165,0.7004,0.8491,0.8119,0.804,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),0.9038
energy,chem/phys,energia,V4,delete,energia,energia,4,4,1.0,7,7,1.0,0,0,0,8,ja|id|tr|ru|es|fi|hu|cs,0.9034,0.7143,0.7143,0.9304,0.8881,0.9034,0.8458,soft g between vowels; final -ia ending,ru/es/tr/id/hu shape energi(a),1.0
